Index,Prime Number,Prime Gap
936,7349,16.0
937,7351,2.0
938,7369,18.0
939,7393,24.0
940,7411,18.0
941,7417,6.0
942,7433,16.0
943,7451,18.0
944,7457,6.0
945,7459,2.0
946,7477,18.0
947,7481,4.0
948,7487,6.0
949,7489,2.0
950,7499,10.0
951,7507,8.0
952,7517,10.0
953,7523,6.0
954,7529,6.0
955,7537,8.0
956,7541,4.0
957,7547,6.0
958,7549,2.0
959,7559,10.0
960,7561,2.0
961,7573,12.0
962,7577,4.0
963,7583,6.0
964,7589,6.0
965,7591,2.0
966,7603,12.0
967,7607,4.0
968,7621,14.0
969,7639,18.0
970,7643,4.0
971,7649,6.0
972,7669,20.0
973,7673,4.0
974,7681,8.0
975,7687,6.0
976,7691,4.0
977,7699,8.0
978,7703,4.0
979,7717,14.0
980,7723,6.0
981,7727,4.0
982,7741,14.0
983,7753,12.0
984,7757,4.0
985,7759,2.0
986,7789,30.0
987,7793,4.0
988,7817,24.0
989,7823,6.0
990,7829,6.0
991,7841,12.0
992,7853,12.0
993,7867,14.0
994,7873,6.0
995,7877,4.0
996,7879,2.0
997,7883,4.0
998,7901,18.0
999,7907,6.0
1000,7919,12.0
